Engine Fuel Type,Engine HP,Engine Cylinders,Transmission Type,Driven_Wheels,Market Category,Vehicle Size,Vehicle Style,Average MPG
1.0,0.20613107822410148,0.375,0.25,0.6666666666666666,0.9855072463768116,0.5,0.9333333333333333,20.5
1.0,0.1765327695560254,0.375,0.75,1.0,0.9855072463768116,0.0,0.5333333333333333,19.0
1.0,0.258985200845666,0.375,0.75,1.0,0.855072463768116,0.0,0.0,19.0
1.0,0.258985200845666,0.375,0.75,1.0,0.9855072463768116,0.0,0.5333333333333333,19.0
1.0,0.1765327695560254,0.375,0.75,1.0,0.9855072463768116,0.0,0.5333333333333333,19.5
1.0,0.1765327695560254,0.375,0.75,1.0,0.9855072463768116,0.0,0.4,19.5
1.0,0.02854122621564483,0.25,0.75,0.6666666666666666,0.7101449275362319,0.0,0.0,29.0
1.0,0.02854122621564483,0.25,0.75,0.6666666666666666,0.7101449275362319,0.0,0.0,28.0
1.0,0.2653276955602537,0.375,0.25,1.0,0.8695652173913043,0.0,0.4,20.0
1.0,0.2653276955602537,0.375,0.25,1.0,0.8695652173913043,0.0,0.5333333333333333,20.5
1.0,0.2653276955602537,0.375,0.75,1.0,0.8695652173913043,0.0,0.5333333333333333,21.5
1.0,0.2653276955602537,0.375,0.75,1.0,0.8695652173913043,0.0,0.4,20.5
1.0,0.2653276955602537,0.375,0.75,1.0,0.5072463768115942,0.0,0.5333333333333333,21.5
0.8571428571428571,0.36469344608879495,0.5,0.75,1.0,0.43478260869565216,0.0,0.4,12.5
0.8571428571428571,0.36469344608879495,0.5,0.0,1.0,0.43478260869565216,0.0,0.5333333333333333,12.5
0.8571428571428571,0.36469344608879495,0.5,0.0,1.0,0.43478260869565216,0.0,0.4,12.5
0.8571428571428571,0.36469344608879495,0.5,0.75,1.0,0.43478260869565216,0.0,0.5333333333333333,12.5
0.8571428571428571,0.3911205073995772,0.5,0.0,1.0,0.36231884057971014,0.0,0.5333333333333333,12.5
0.8571428571428571,0.29281183932346727,0.375,0.75,1.0,0.8695652173913043,0.0,0.4,20.5
0.8571428571428571,0.29281183932346727,0.375,0.75,1.0,0.8695652173913043,0.0,0.5333333333333333,22.0
0.8571428571428571,0.29281183932346727,0.375,0.25,1.0,0.8695652173913043,0.0,0.4,21.5
0.8571428571428571,0.29281183932346727,0.375,0.25,1.0,0.8695652173913043,0.0,0.5333333333333333,22.5
0.8571428571428571,0.3118393234672305,0.375,0.75,1.0,0.5072463768115942,0.0,0.5333333333333333,22.0
0.8571428571428571,0.3118393234672305,0.375,0.25,1.0,0.5072463768115942,0.0,0.5333333333333333,22.5
1.0,0.13636363636363638,0.25,0.75,0.6666666666666666,0.9855072463768116,0.0,0.9333333333333333,31.0
1.0,0.13636363636363638,0.25,0.25,0.6666666666666666,0.9855072463768116,0.0,0.9333333333333333,33.5
1.0,0.13636363636363638,0.25,0.25,0.6666666666666666,0.855072463768116,0.0,0.13333333333333333,32.0
1.0,0.13636363636363638,0.25,0.75,0.6666666666666666,0.855072463768116,0.0,0.13333333333333333,30.5
1.0,0.10570824524312897,0.25,0.25,0.6666666666666666,0.7101449275362319,0.0,0.13333333333333333,35.0
1.0,0.10570824524312897,0.25,0.75,0.6666666666666666,0.7101449275362319,0.0,0.13333333333333333,34.5
1.0,0.13636363636363638,0.25,0.75,0.6666666666666666,0.9855072463768116,1.0,0.9333333333333333,29.5
1.0,0.13636363636363638,0.25,0.25,0.6666666666666666,0.9855072463768116,1.0,0.9333333333333333,31.5
1.0,0.10570824524312897,0.25,0.25,0.6666666666666666,0.7101449275362319,0.0,0.13333333333333333,32.5
1.0,0.13636363636363638,0.25,0.75,0.6666666666666666,0.855072463768116,0.0,0.13333333333333333,29.0
1.0,0.10570824524312897,0.25,0.75,0.6666666666666666,0.7101449275362319,0.0,0.13333333333333333,32.0
